"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
636	"CDC25C"	"Protein phosphatase"	"CDK1 (p34)"	"Protein kinase"	"Activation"	"Dephosphorylation"	"x"	"Following activation by the phosphatase CDC25C, CDK1 phosphorylates a large number of substrates that promote nuclear-envelope breakdown, centrosome separation, spindle assembly and chromosome condensation."	"8119945;8440392;9141461;9268380;9278511;9585407;9683638;9733650;10864927;11100717;11836499;11976667;12461778;12676925;15286739;15578575;16682204;17341183;17349584;18056802;18604163"
637	"RIPK2"	"Protein kinase"	"Bcl-10"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"TCR triggering-dependent phosphorylation of BCL10 that depended on the Ser/Thr kinase RIP2 and correlated with the physical association of BCL10 with RIP2 in lysates from stimulated T cells. RIP2-deficient mice are defective in TCR-induced NF-kB activation and cellular proliferation."	"14638696;15752987;17098202;17468049;18267068"
638	"FAK1"	"Protein kinase"	"RIPK1"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"FAK1 physically interacts with RIPK1 and decreases its activity."	"15121855;15752987"
639	"H-Ras"	"RAS - superfamily"	"B-Raf"	"Protein kinase"	"Activation"	"Binding"	"x"	"H-Ras physically interacts with B-Raf and increases its activity."	"7706312;7835430;7935411;8668348;8853442;9009833;9020159;9154803;9168114;10545207;11325826;11728826;11784015;12068308;12876556;15143186;15352164;15520807;16724053;16803888;17314971;17555829;19933846"
640	"c-Src"	"Protein kinase"	"STAT5B"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"c-Src interacts with and leads to STAT5B phosphorylation and transcriptional activation"	"11169589;12032773;12621061;15489919;15509516;15578920;16849545;16883580;20433855"
641	"Bcl-10"	"Generic binding protein"	"c-IAP2"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"Bcl-10 physically interacts with  c-IAP2 and decreases its activity."	"10753917;11466612;16775419"
642	"PKA-cat alpha"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKA-mediated phosphorylation of Raf-1 has been proposed as one of the mechanisms by which cAMP inhibits T cell activation."	"7935389;8816453;9001246;9091312;9710607;10576742;10862777;11971957;11997508;12127063;12801936;15157156;16099987;17496911;21130867"
643	"PI3K reg class IA (p85)"	"Generic binding protein"	"PI3K cat class IA"	"Lipid kinase"	"Activation"	"Binding"	"x"	"Complex regulatory subunit PI3K reg class IA (p85) binds to catalytic subunit PI3K cat class IA and activates it"	"8313896;8388374;9192891;9488453;10704820;15135396;16088938;16088939"
644	"c-Src"	"Protein kinase"	"PKC-lambda/iota"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates PKC-lambda/iota and increases its activity."	"11713277;16452474;20946954"
645	"PKC-alpha"	"Protein kinase"	"GSK3 alpha"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKC-alpha phosphorylates GSK3 alpha and decreases its activity."	"1324914;11035810;11749387;11884598;12054501;14556709;16099987"
646	"PKC-delta"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKC-delta interacts with and phosphorylates GSK3-beta. This interaction was modeled on a demonstrated interaction between human PKC-delta and rabbit GSK3-beta."	"11884598;15824731;18218726"
647	"PKC-delta"	"Protein kinase"	"GSK3 alpha"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKC-delta phosphorylates GSK3 alpha and decreases its activity."	"11035810;11749387;11884598;12054501"
648	"PKC-eta"	"Protein kinase"	"GSK3 alpha"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKC-eta phosphorylates GSK3 alpha and decreases its activity."	"11884598"
649	"Adenylate cyclase"	"Generic enzyme"	"ATP = Cyclic AMP + Pyrophosphate"	"Reaction"	"Activation"	"Catalysis"	"x"	"Adenylate cyclase generates two second messengers, Cyclic AMP and Pyrophosphate from ATP."	"8314585;10966920;11001065;15662399"
650	"CDK1 (p34)"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"CDK1 (p34) physically interacts with  c-Raf-1 and decreases its activity."	"15888452"
651	"PKC-zeta"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Interaction of PKC-zeta with c-Raf-1 was shown by using yeast two-hybrid system method ."	"9230106;10620507;16189514;16623718"
652	"PKC-zeta"	"Protein kinase"	"p90Rsk"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PKC-zeta induces p90Rsk phosphorylates at Ser-381 and Thr-573 and increases p90Rsk activity."	"15767261"
653	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Hamartin"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"Tuberin physically interacts with  Hamartin and decreases its activity."	"7545544;9580671;9809973;10585443;10807585;10915759;11175345;11290735;11741832;11741833;12147258;12167664;12176984;12511557;12869586;14551205;14651849;15121792;15340059;15342917;15611338;15851026;15963462;16339216;16424383;16636147;17074751;17077083;17658474;17693255;20412061;21134130"
654	"EGFR"	"Receptor with enzyme activity"	"Itch"	"Generic enzyme"	"Unspecified"	"Phosphorylation"	"x"	"EGFR phosphorylates Itch."	"12226085"
655	"LKB1"	"Protein kinase"	"SIK"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"LKB1 has been termed a master kinase based on its ability to control the activity of the 14member s of the AMPK-related family of serine-threonine kinases (MARK1-4, Brsk,  SAD-A, SAD-B, SIK2, NUAK1,2, QSK and SNRK)through direct phosphorylation of a threonineresidue in their activation loops."	"14976552;16396636;16756488;16817901;17010524;19029933"
656	"ErbB2"	"Receptor with enzyme activity"	"ITGB4"	"Generic receptor"	"Activation"	"Binding"	"x"	"Activated ErbB2 forms a complex with beta-4 integrin and a src family kinase (SFK), leading to the tyrosine phosphorylation of all three components and signaling to c-Jun and STAT3."	"11375975;16901783;16904607;19147560"
657	"CaMKK"	"Protein kinase"	"AMPK alpha subunit"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"CaMKK phosphorylates and activates AMPK alpha subunit"	"15980064;17023420"
658	"p90RSK2(RPS6KA3)"	"Protein kinase"	"CBP"	"Generic enzyme"	"Inhibition"	"Binding"	"x"	"p90RSK2(RPS6KA3) physically interacts with CBP and decreases its activity."	"11564891;12540838"
659	"c-Src"	"Protein kinase"	"c-Abl"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Binding of c-Src to c-Abl was shown by peptide array target screening (PATS) method and validated by coimmunoprecipitation and/or affinity pull-downs using full-length proteins."	"1383690;11494128;11781820;11847100;12522270;12748290;16151024;17307791;17318191"
660	"AMPK alpha subunit"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Phosphorylation"	"x"	"During energetic stress and the increase of AMP/ATP ratio, the tumor suppressor LKB1 will phosphorylate AMP activated kinase (AMPK), which was shown to phosphorylate TSC2 at Ser1345, promoting its GAP activity toward Rheb."	"14651849;15261145;15509864;15988001;16027121;16258273;16443822;16724053;16724055;16849518;17041622;17244624;17712357;18094094;18291711;18466115;18555664;20182617;20965424"
661	"Rictor"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"Rictor binds mTOR and forms mTOR complex 2."	"15268862;15467718;15718470;15755954;15809305;16169463;16183647;16221682;16603397;16724053;16919458;16962653;16968213;17041621;17043309;17046229;17141160;17321123;17376031;17461779;17565979;17613433;17928127;18339839;18411301;18505677;18566586;18570873;18614546;18664580;19446321;19602587;19875293;20427287;20801936;20876733;21045808;21376236;21438886;21724852;21757621;21763421;21909137;21965657;22084251;22139837;22173835;22544753"
662	"alpha-V/beta-3 integrin"	"Generic receptor"	"FAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"alphav/beta3 integrin binds to FAK."	"11278271;11420674;11927607;12234017;15258893;15637140;15886876;16919435;19889638"
663	"alpha-V/beta-5 integrin"	"Generic receptor"	"FAK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"FAK1 binds to alpha-V/beta-5 integrin."	"11420674;11927607;15637140;15673687"
664	"GSK3 beta"	"Protein kinase"	"Beta-catenin"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates Beta-catenin and decreases its activity"	"9566905;10074433;10228155;10318824;10330181;10508699;11251183;11818547;11835406;11967263;12000790;12051714;12114015;12297048;12743027;12813129;12874278;15064718;15179030;15190077;15228590;15327768;15543593;15829953;15829978;15993040;16007092;16447163;16520547;16552619;16741972;17318191;17360687;17510365;17543867;17572842;17881495;18432252;18474214;18641688;18952601;19303846;19481076;19727391;20007479;20042714;20363320;20623542;20840866;20945354;21352912;21631154;21743491;22240482"
665	"Tcf(Lef)"	"Transcription factor"	"Cyclin D1"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"Tcf(Lef) upregulates expression of Cyclin D1"	"12743027;15543593;15695395;15878878;15899904;15967802;16644723;16717102;16908522;17121828;17693601"
666	"GSK3 beta"	"Protein kinase"	"PP1-cat"	"Protein phosphatase"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates PP1-cat and increases its activity."	"16155008"
667	"GSK3 beta"	"Protein kinase"	"MUC1"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"GSK3beta binds to MUC1 and phosphorylates the serine adjacent to proline. Phosphorylation of MUC1 by GSK3beta decreases binding of MUC1 to beta-catenin."	"9819408;11152665;16288032;17850209;19022564"
668	"EGFR"	"Receptor with enzyme activity"	"Cyclin D1"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"EGFR binds to an AT-rich response sequence within the promoters of cyclin D1, B-Myb, iNOS and Aurora-A, and transactivates them."	"11533659;15652339;15950906;16645993;17909029;20406885;20473332;20802156;22581837"
669	"EGFR"	"Receptor with enzyme activity"	"c-Fos"	"Transcription factor"	"Unspecified"	"Transcription regulation"	"x"	"EGFR can bind to gene c-Fos promoter."	"15950906"
670	"Collagen I"	"Generic binding protein"	"alpha-V/beta-5 integrin"	"Generic receptor"	"Activation"	"Binding"	"x"	"Collagen I  is an agonist of alpha-V/beta-5 integrin"	"14739617;15260812"
671	"Collagen I"	"Generic binding protein"	"alpha-V/beta-3 integrin"	"Generic receptor"	"Activation"	"Binding"	"x"	"In association with beta3, alpha-V binds collagen I."	"9251239;14739617;15260812;15361064"
